hours-per-week,age,capital-gain,capital-loss,workclass,education,education-num,marital-status,relationship,race,gender,native-country,income,occupation
20,40,0,0,Private,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,49100,Tech-support
40,21,0,0,Private,Some-college,10,Divorced,Own-child,White,Male,United-States,11500,Craft-repair
10,17,0,0,Private,11th,7,Never-married,Own-child,White,Male,United-States,2600,Other-service
50,51,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,Cambodia,38997,Sales
38,28,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,?,41400,Exec-managerial
38,26,0,1876,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,38524,Exec-managerial
99,44,2354,0,Private,Prof-school,15,Divorced,Not-in-family,White,Female,United-States,26794,Prof-specialty
24,81,0,0,?,Prof-school,15,Married-civ-spouse,Husband,White,Male,United-States,66433,?
40,45,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,England,33781,Craft-repair
45,37,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,31050,Exec-managerial
40,24,0,0,?,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,3120,?
42,29,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,30876,Handlers-cleaners
30,33,0,0,Private,HS-grad,9,Separated,Not-in-family,White,Male,United-States,3866,Machine-op-inspct
40,23,0,0,?,Some-college,10,Separated,Not-in-family,White,Female,United-States,5202,?
40,59,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,60186,Machine-op-inspct
40,37,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,55486,Craft-repair
32,56,0,0,Self-emp-inc,Prof-school,15,Married-civ-spouse,Husband,White,Male,United-States,99999,Prof-specialty
50,41,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,62210,Prof-specialty
40,56,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,32680,Exec-managerial
40,38,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,41110,Exec-managerial
60,28,0,0,Private,Assoc-acdm,12,Never-married,Not-in-family,White,Female,United-States,20173,Sales
